
="60.exp#c.urate",="0.0829***",="0.0752",="-0.650",="0.131***"
="",="(0.0141)",="(0.0739)",="(0.902)",="(0.0303)"

="61.exp#c.urate",="0.0636***",="-0.0155",="-1.656*",="0.131***"
="",="(0.0149)",="(0.0654)",="(0.626)",="(0.0286)"

="62.exp#c.urate",="0.138***",="0.335*",="-3.424*",="0.200***"
="",="(0.0264)",="(0.154)",="(1.572)",="(0.0305)"

="63.exp#c.urate",="0.0378",="-0.0390",="-0.216",="0.106***"
="",="(0.0291)",="(0.124)",="(2.485)",="(0.0283)"

="64.exp#c.urate",="0.0851**",="0.593*",="-2.095",="0.143***"
="",="(0.0307)",="(0.287)",="(1.322)",="(0.0329)"

="65.exp#c.urate",="0.127***",="0.418*",="-1.273",="0.188***"
="",="(0.0316)",="(0.158)",="(0.922)",="(0.0267)"

="66.exp#c.urate",="0.138**",="0.0476",="4.756",="0.172**"
="",="(0.0421)",="(0.0534)",="(3.462)",="(0.0532)"

="67.exp#c.urate",="0.141**",="-0.145",="-5.762",="0.216***"
="",="(0.0482)",="(0.384)",="(3.848)",="(0.0502)"

="68.exp#c.urate",="0.0466",="0.0281",="-4.302",="0.0891*"
="",="(0.0482)",="(0.0236)",="(3.106)",="(0.0383)"

="69.exp#c.urate",="0.0748",="0.137**",="9.373*",="0.137"
="",="(0.0816)",="(0.0459)",="(4.405)",="(0.0792)"

="70.exp#c.urate",="0.0792",="0.143",="-1.947***",="-0.0412"
="",="(0.126)",="(0.0881)",="(0.150)",="(0.0984)"

="71.exp#c.urate",="0.136",="1.626",="0",="0.0339"
="",="(0.111)",="(1.879)",="(.)",="(0.0510)"

="72.exp#c.urate",="0.458*",="-4.008",="12.29",="0.363*"
="",="(0.179)",="(3.394)",="(6.710)",="(0.141)"

="73.exp#c.urate",="0.0730*",="0.207",="0",="0.105*"
="",="(0.0363)",="(0.135)",="(.)",="(0.0470)"

="N",="16309862",="10591956",="631214",="5086692"
="R-sq",="0.048",="0.026",="0.244",="0.071"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
